Colorado|Rio Blanco|M|21.5|25.8
Colorado|Rio Grande|M|24.8|30.2
Colorado|Routt|M|19.9|22.5
Colorado|Saguache|M|25.9|31.6
Colorado|San Juan|M|23.6|29.9
Colorado|San Miguel|M|22.4|28.6
Colorado|Sedgwick|M|28.8|34.8
Colorado|Summit|M|19.8|22.7
Colorado|Teller|M|17.5|24.1
Colorado|Washington|M|26.5|32.7
Colorado|Weld|M|20.3|26.5
Colorado|Yuma|M|28.1|34.7
Connecticut|Fairfield|M|22.2|26.3
Connecticut|Hartford|M|24.0|30.7
Connecticut|Litchfield|M|22.8|29.1
Connecticut|Middlesex|M|23.4|31.1
Connecticut|New Haven|M|24.6|31.2
Connecticut|New London|M|24.4|30.4
Connecticut|Tolland|M|23.0|29.6
Connecticut|Windham|M|26.7|34.3
Delaware|Kent|M|29.9|39.1
Delaware|New Castle|M|25.4|34.7
Delaware|Sussex|M|29.4|36.8
District of Columbia|District of Columbia|M|17.9|21.6
Florida|Alachua|M|21.8|27.8
Florida|Baker|M|32.4|41.3
Florida|Bay|M|26.4|31.1
Florida|Bradford|M|32.1|42.5
Florida|Brevard|M|24.4|34.3
Florida|Broward|M|23.1|32.3
Florida|Calhoun|M|30.2|36.0
Florida|Charlotte|M|28.4|31.8
Florida|Citrus|M|28.3|37.7
Florida|Clay|M|26.8|35.5
Florida|Collier|M|24.0|32.8
Florida|Columbia|M|30.8|39.8
Florida|DeSoto|M|30.4|37.2
Florida|Dixie|M|34.1|40.9
Florida|Duval|M|29.0|34.9
Florida|Escambia|M|28.0|32.6
Florida|Flagler|M|24.6|34.5
Florida|Franklin|M|31.3|35.7
Florida|Gadsden|M|30.8|36.2
Florida|Gilchrist|M|31.8|37.8
Florida|Glades|M|31.4|36.7
Florida|Gulf|M|29.7|33.7
Florida|Hamilton|M|34.7|42.5
Florida|Hardee|M|31.1|43.6
Florida|Hendry|M|30.5|38.1
Florida|Hernando|M|27.9|35.6
Florida|Highlands|M|28.8|36.9
Florida|Hillsborough|M|25.5|32.2
Florida|Holmes|M|31.3|37.3
Florida|Indian River|M|26.0|32.3
Florida|Jackson|M|30.0|36.3
Florida|Jefferson|M|30.1|36.0
Florida|Lafayette|M|32.3|37.0
Florida|Lake|M|26.0|35.5
Florida|Lee|M|26.2|33.9
Florida|Leon|M|24.4|32.2
Florida|Levy|M|31.4|38.7
Florida|Liberty|M|30.9|37.0
Florida|Madison|M|32.4|38.6
Florida|Manatee|M|25.8|33.4
Florida|Marion|M|30.3|36.2
Florida|Martin|M|24.5|29.5
Florida|Miami-Dade|M|23.5|32.7
Florida|Monroe|M|25.2|29.7
Florida|Nassau|M|30.3|35.4
Florida|Okaloosa|M|26.6|33.8
Florida|Okeechobee|M|30.3|39.3
Florida|Orange|M|21.8|32.1
Florida|Osceola|M|25.6|34.8
Florida|Palm Beach|M|25.5|30.2
Florida|Pasco|M|28.6|34.6
Florida|Pinellas|M|26.8|31.5
Florida|Polk|M|29.2|37.6
Florida|Putnam|M|31.6|40.7
Florida|Santa Rosa|M|28.3|33.8
Florida|Sarasota|M|24.9|30.7
Florida|Seminole|M|20.9|32.9
Florida|St. Johns|M|24.8|32.4
Florida|St. Lucie|M|27.8|36.7
Florida|Sumter|M|29.9|37.2
Florida|Suwannee|M|31.9|37.5
Florida|Taylor|M|32.7|38.6
Florida|Union|M|32.7|44.3
Florida|Volusia|M|25.7|33.7
Florida|Wakulla|M|28.0|37.7
Florida|Walton|M|27.5|33.4
Florida|Washington|M|29.2|35.2
Georgia|Appling|M|32.0|39.5
Georgia|Atkinson|M|33.5|40.3
Georgia|Bacon|M|32.1|38.7
Georgia|Baker|M|32.7|37.9
Georgia|Baldwin|M|30.0|36.9
Georgia|Banks|M|30.7|37.6
Georgia|Barrow|M|29.4|35.7
Georgia|Bartow|M|31.3|36.0
Georgia|Ben Hill|M|31.4|38.5
Georgia|Berrien|M|31.2|39.7
Georgia|Bibb|M|27.2|34.6
Georgia|Bleckley|M|31.8|41.0
Georgia|Brantley|M|30.8|40.0
Georgia|Brooks|M|32.7|37.8
Georgia|Bryan|M|27.6|32.3
Georgia|Bulloch|M|31.6|35.7
Georgia|Burke|M|34.9|40.5
Georgia|Butts|M|30.8|39.4
Georgia|Calhoun|M|32.6|41.5
Georgia|Camden|M|28.0|35.6
Georgia|Candler|M|33.9|38.6
Georgia|Carroll|M|30.5|35.1
Georgia|Catoosa|M|32.6|37.8
Georgia|Charlton|M|34.5|43.4
Georgia|Chatham|M|26.3|32.8
Georgia|Chattahoochee|M|26.1|33.8
Georgia|Chattooga|M|32.7|40.8
Georgia|Cherokee|M|26.5|33.5
Georgia|Clarke|M|26.0|33.9
Georgia|Clay|M|31.6|39.3
Georgia|Clayton|M|27.6|36.4
Georgia|Clinch|M|35.2|42.8
Georgia|Cobb|M|25.7|32.4
Georgia|Coffee|M|32.5|38.3
Georgia|Colquitt|M|33.5|38.2
Georgia|Columbia|M|24.0|29.9
Georgia|Cook|M|31.9|38.5
Georgia|Coweta|M|27.6|33.3
Georgia|Crawford|M|30.9|38.0
Georgia|Crisp|M|32.0|37.8
Georgia|Dade|M|32.0|37.7
Georgia|Dawson|M|26.5|33.1
